text,ann,mask_ann
"Desiree Lopez-Gonzalez Hospital Infantil de México Federico Gomez Dr. Márquez 162, Col. Doctores, Del.",0,0
"Moreover, the authors need to provide some, at least minimum, evidence or clues that CAF-expressed NR2F1 is responsible for tumor dormancy regulation.",2,1
"Round 1: Author Response to Reviewer 4 I copied and pasted the reviewer commentary, below.",0,0
"[Response] great suggestions, thank the reviewer.",0,0
This was corrected.,1,1
"Seismic reflection data quality is ranked and colour-coded as “Excellent”, “Average” and “Poor”.",0,0
"No technique is recommended, and the authors conclude that the methods are not interchangeable – not a novel finding.",0,0
Point 3: Congratulation!,0,0
It is practically impossible to appreciate a therapeutic effect in such a short time and upon monitoring effect for 1 day.,0,0
"While for in vitro data, the authors have data, for in vivo they used only one frequency of 150 Hz.",0,0
The authors have addressed the concerns.,2,1
"Isochron maps have been included in the supplementary material, the initial review suggested isoCHORE maps.",0,0
1 Manuscript ID #: Molecules 1583723 Journal: Molecules A detailed point-by-point response to the reviewers' comments We would like to thank the reviewers for the comments and endorsements of our work.,0,0
All the modifications are shown in yellow color in the revised manuscript.,0,0
Please feel free to add them back if you feel they should be included.,0,0
"As mentioned in the Conclusion, in the future study, we will include more offices and locations as experiment samples.",0,0
"We appreciate the recommendation and updated the molecular docking study by adding more details and literature references as follows, 4.9.",1,1
"Cha, S.; Gu, B.; Sagong, M.; Son, J.; Kim, M. Association between glaucoma and cardiovascular disease risk in Korean population based study.",0,0
"Nevertheless, these differences between the monotherapies, did not reach statistical significance.",1,1
"However, even with this approximation we find very good agreement between the numerical and analytical calculations.",1,1
"After all, government expenditure is a political decision.",2,1
Corrected to “soil type”.,1,1
Major Issues: [1] Figure 4 is missing.,0,0
"Multivariable adjusted beta (95% confidence interval) of intraocular pressure by nitrate intake Betaa per 1 unit increase in nitrate intakec P-value Total dietary nitrate intake (per 10 mg/day) Model 1a 0.02 (-0.02-0.06) .35 Model 1b 0.00 (-0.06-0.05) .89 Vegetable dietary nitrate intake (per 10 mg/day) Model 1a 0.02 (-0.02-0.06) .29 Model 1b 0.00 (-0.05-0.05) .97 Nitrate intake from non-vegetable food sources (per 10 mg/day) Model 1a -0.45 (-0.96-0.06) .09 Model 1b -0.67 (-1.30- -0.05) .04 a Model 1: adjusted for body mass index, total energy intake, diet quality, physical activity, and follow-up time.",0,0
It has been known that tiny genomes of endosymbiont microbes often tend to move towards baseline of a tree and distort the overall picture.,2,1
Previous studies mentioned that NR2F1 was highly expressed in DTCs [67].,0,0
Countries below the 75th percentile of the WUI do not exhibit statistically significant differences among each other.,0,0
RESPONSE:,0,0
"“The electron density of ε-CL-20 crystal form is 622.7 nm-3 and that of γ-CL-20 is 584.8 nm-3, while the electron density of GPL107 is 571.7 nm-3” You need to specify the reference in which this data were obtained.",2,1
"Since this may be managed by the editorial office, I do not see the need for another review.",2,1
"For cell cultures, the control samples continue to grow throughout the treatment duration, and so after 72 h the plates are very much confluent, and may not be left to continue and grow any further (without drastic changes in the environmental conditions, making them inadequate control cells).",1,1
Answer: Thanks for your advice!,0,0
Also describe in the methods section Answer: Thank you for your proposal.,0,0
Very poorly designed map (screen-dump?).,0,0
The sample discs were put gently on pre-inoculated agar plates and aerobically incubated for 24 h at 37 °C for antibacterial and for 48 h at 26 °C for antifungal assay.,1,1
"We have not used chi square to assess analysis of variance, we have now made it clearer that frequency distribution is being assessed in the statistical methods section In terms of gender and education: the mean, standard deviation, df and sig t or F test need to be reported in the tables.",1,1
"Authors’ response: Italics have been removed, see revised section 2.3.",0,0
Simulation results are presented to show the effectiveness of the proposed method.,0,0
"Although the authors point out that more data is needed to identify the source of the gas, the observations made in this study confirm the presence of fault-controlled fluid flow pathways connecting the stratigraphic levels where the unconventional plays are located with shallower aquifers the Beetaloo basin.",0,0
(2009).,0,0
J. Mol.,0,0
"Inn, T. L. (2020).",0,0
"C) Page 3, lines 133-134: “Patients were then divided into two groups according to the drugs employed in antithrombotic chemoprophylaxis:” How was it decided which patients received which form of prophylaxis?",0,0
"In addition to the new supplementary figure, we have added information about this analysis to the methods (lines 152-153), results (209-211), and discussion (296-298).",1,1
L296-L302: the marker descriptions on main text cannot match the supplementary table S8.,2,1
Answer:,0,0
The paper presents quite an interesting discussion.,0,0
The symbol used to denote trichome length was changed to an uppercase lambda.,1,1
"Thanks to a substantial revision our paper now provides a clear argumentation and logical structure, with the first part delving into literature to explain the key issues and concepts, and then moving to solutions.",0,0
(4) the cavity is an open quantum system.,2,1
"To address your question, in lines 318-323, we will change: “Finally, although the analyses were adjusted for several confounders, residual confounding cannot completely be excluded.” To: “Although the analyses were adjusted for multiple confounders, we were unable to adjust for other possible confounders such as family history of glaucoma due to a lack of data.",1,1
The Reviewer raises a very valuable point.,2,1
Please provide a reference to the primary documentation.,0,0
"E) Page 3, line 142: The Mann-Whitney test was used for what?",0,0
Point 1、This study estimated the heavy metal exposure to children through soil and dust Ingestion in electronic waste (e-waste) dismantling areas.,0,0
"I do not expect the complete picture, but should have comments on limitations and to what degree the conclusions and learnings are possible to generalize.",2,1
"We tried our best to address this problem, see the revised version of our paper.",1,1
"The authors should add one or two lines smoothing the flow for the reader, rather than relying on subject headings.",2,1
Response 1: Thanks!,0,0
According to Figure 7. the activity of the ascorbic acid is higher than the activity of EPS produced by CamB6.,2,1
The materials and methods section are elaborated in the details.,0,0
2.,0,0
We have fixed the problems in the revised tables.,0,0
"The main finding of this study is that NR2F1 is predominantly expressed in CAFs rather than in all other cell types in the TME, and we do not intend to claim that CAF-expressed NR2F1 regulates dormancy.",0,0
Nat.,2,1
"In my opinion, this paper deals with a very important and timely topic and is well structured.",0,0
"However, we, inadvertently, displayed summary statistics (Table 2) for raw data, i.e., before winsorizing.",1,1
Do your experiments (WAXS and SAXS) measure the defect size and number of defects or is a model used to infer these quantities?,2,1
INTRODUCTION P2 L61: FFM is obtained via the 4C model – it is not a surrogate.,2,1
[Response],0,0
"Hi Lasha, We have investigated your query for RIC – OBE.TO for the year 2009(FY-12) Property/Plant/Equipment, Total - Net is bigger than Total assets, as reported and confirm that we have amended Property, plant and equipment which was incorrectly captured and sent the correct data to product.",0,0
Further problematize the discussions/debates that are being mobilized in the article.,2,1
Comments How is subtotal resection defined in chordoma (% of volume remaining?),0,0
Predictions about how the specific subscales of the inventory might relate to age and experience might be provided to make the results more meaningful (see the comment about theory relating to analyses discussed above).,0,0
1 Response to Reviewer 4 Comments Point 1: The paper is well structured and presented in a very meaningful manner.,0,0
Based on the cell line RNA and protein data the expression level of MACC1 is highly variable rather than being present or not.,2,1
"Remove the word ""that"".",0,0
The main comment addressing the article improvement is the methodology applied for statistical analysis.,0,0
"*p < 0.05, **p < 0.01, and ****p < 0.0001 relative to control for labels above bars, or between indicated groups; Student’s T-test.",0,0
"Some errors in the legend of Figure 4, such as EM/PHYT/BHT, EM/PHYT is not presented in Figure 4.",2,1
Discussion The previously proposed fast methods were mainly addressed to reduce complexity in the video encoder with the BD-rate loss.,1,1
"Point 27: In line 395 replace ""it revealed"" with revealed.",0,0
This addition has been made.,2,1
We will conduct additional research in the future to fully reflect the reviewer's comments.,1,1
In line 406 delete period after stress.,2,1
1. inappropriately ends with “2.2.,0,0
"Board control, remuneration committees, and top management compensation.",0,0
The authors’ like to thank the reviewer for the helpful comments and suggested corrections to improve the manuscript.,0,0
Remote Sens.,0,0
"Using molecular replacement experiments in cultured hippocampal slices and functional properties for diheteromeric and triheteromeric NMDA receptors expressed in HEK293T cells, the authors demonstrated effects of GoF and LoF mutations.",0,0
"Springer, Cham.",0,0
"If the latter applies, make sure to provide a scale.",2,1
18),0,0
The correlation in Fig.,1,1
"Also, round the numbers in Fig 6 to whole keV units.",0,0
Author Response Responses to Reviewer 2 We appreciate your review of our manuscript and constructive comments and suggestions.,0,0
"Reading further to page 3, I believe these are the 24 biophilic design attributes [ref.",0,0
How can these be ‘representative’ for whatever population of biotech clusters in these countries?,0,0
(c) The abstract states: “Aaker is seen by many as the branding guru” and refers to Aaker (1997) in the introductory paragraph.,0,0
Author Response Reviwers comments The manuscript contains scientific material that can be published as a short communication.,0,0
This is a nice contribution to the special issue of cold atoms in optical cavities.,0,0
We agree that the SLO neutralization is not novel and simply confirm results from previous publications by us and others.,0,0
We hope that this new version may deserve your recommendation for publication.,1,1
(2021).,0,0
The manuscript has been greatly improved.,0,0
"Point 3: Overall work of the article is sufficient, the results have the certain significance, but its limitation is obvious to all.",0,0
"Consider splitting into several maps, e.g.",2,1
"Thank you, we agree that income as well as education plays a role in healthy food choices.",1,1
"; Chu, D.; Chen, H.H.",0,0
"We verified the total protein content of the supernatants by Coomassie blue staining, which was similar for all strains (Figure.",0,0
I would also stress a little more that FL is almost undetectable.,2,1
"In general, I thought that this manuscript was interesting to read and added important information to the literature to facilitate accurate variant interpretation of RAD51C spliceogenic variants, which in turn can better facilitate risk assessment and genetic counselling in families carrying these variants.",0,0
We have found your recommendations and commentaries of great value and have made appropriate changes.,0,0
"Biophilic design is known to elicit mental and physical health benefits, as stated by the authors on page 1, lines 29-32.",0,0
"Also, as far as this reviewer is aware, there are no known general (= nonspecific) RNA replicase ribozymes consisting of only 100 nucleotides.",0,0
"Page 1, line 24, revised to “including optical isolators [4-6]”.",1,1
What is “EA”?,0,0
"Reading further to page 5, lines 189-192, the authors begin to suggest to this, but referred to them and others indoor environmental parameters as factors for the workplace.",0,0
in section 4.,0,0
Response:,0,0
Line 530: English check,2,1
15.,0,0
See the attachment Comments for author File: Comments.pdf,0,0
We uploaded the raw mycotoxin data as suggested.,1,1
"A 58, R50 (1998).",0,0
We tried to improve the figures at best- attached is a detailed reply to reviews.,0,0
(2021).,0,0
"In this context, the liposomes act as traps for bacterial toxins.",0,0
The energy calculations were done by genetic algorithms.,0,0
"In addition, I do believe that several figures could be combined in order to minimize journal space.",2,1
Major remarks,0,0
Revised manuscript contains 4 Tables and 5 Figures and 1 supplementary table and 1 supplementary figure.,0,0
"If the proposed inverse transform using the number of non-zero coefficients is applied to the VVC standard, the inverse transform of the VVC standard should be changed to include the proposed method.",0,0
"Dimension Office A Office B Location Singapore Shenzhen, South China Climate Zone Tropical Monsoon climate Sub-tropical climate Coordinate 1°16′North, 103°5′East 22°55′North, 114.1°East Floor 8 10 Office Ventilation Type Central air conditioned Natural ventilation Temperature in the office 25 to 26° C 26 to 28°C No.",0,0
The data on bgs are not sufficiently presented in the text nor discussed.,2,1
Your careful review of this manuscript is highly appreciated.,0,0
"The different colors of the discharge when changing the material of the electrodes are determined not by the spark or arc stages, but by bright spots on the electrodes, which are formed due to the explosive emission of electrons [Mesyats, G.A.",1,1
The conclusion should briefly give an insight into the obtained results and also the limitations.,2,1
1.,0,0
best regards Comments for author File: Comments.pdf,0,0
"Statements such as in line 232: ""the first step is to limit the characteristics of life-like systems into life on Earth"" leave one scratching ones head.",0,0
"The regression results presented in Table 2 test whether sexual behaviors that participants already experienced by Time 1 predicted facets of sexual subjectivity at Time 2, controlling for sexual subjectivity at Time 1.",0,0
"Remove ""2.",0,0
"2011), dis- 44 coloration, abnormal ripening, and so on (Sato, Murakami et al.",0,0
Comparison of the miR-98/PGRMC1 abundance in proliferative and secretory phases of endometrial biopsy may contribute to the diagnostic prediction of uterine receptivity for embryo implantation.,2,1
8) Lines 121-133.,2,1
"If other people were present, did all of them have to be away or just the dog’s owner?",0,0
"I found two major issues in the discussion of this paper: (1) The authors said in the statistic section that “statistical significance was set at p<0.05.” (page 5, line 212).",0,0
COMMENT #3: On top of page 11 there is still no examples of adversarial effects removed by co-operative.,0,0
---------------------------------------------------------------------------------------------------------------------------------------- 3) The authors have not carefully proofread this manuscript.,0,0
[Response],0,0
In this regard we should bear in mind that the LUCA genome may have exhibited sense-antisense coding on both strands as suggested by Rodin and Carter.,1,1
What I see in Figure 4 and in the text is that approx.,0,0
"17, No.4 (2005), 2524-2530] Page 2 of 2 Comment 2:",0,0
"The bending elasticity modulus depends on the temperature below and near the phase transition temperature, but far above the phase transition temperature (this is the case in our experiment) the bending elasticity modulus is practically constant.",1,1
We agree with this suggestion.,1,1
"11, no.",1,1
I consider the paper can bring interesting contributions in various fields.,0,0
"All these statements are not true, only for two out of three outcomes, namely psychological distress and fatigue, but not for perceived stress (see also Figure 3).",0,0
"All three deal with complexity, normativity and uncertainty in an action-oriented way and have mechanisms of self-correction and adaptation which is necessary for transformations which cannot be planned and implemented from the top, but which must find solutions to demands for participation, fairness in outcomes, unintended effects in order to remain legitimate and secure continued support from societal stakeholders.",0,0
"Diet is not expected to have any influence of parent relations, social relations or peers but your study may find an influence on psychological well-being and even school environment.",0,0
Not possible to differentiate post-Wilton fault types properly in the figure.,0,0
"However, differences in batches were found.",2,1
"provides us with estimates of the concentrations of various proteins representing the PSII, PSI, cytb6 and Rubisco in there different cyanobacteria.",0,0
***,0,0
Point 16:,0,0
b) It is necessary to explain the method of sampling using the appropriate literature.,2,1
"There are errors in nomenclature throughout the text, figures, and supplements, e.g.",2,1
Is this from the literature?,2,1
Explain what FRBE is.,2,1
>>,0,0
61.,1,1
Lines 218 and 223: check the Figure 3 and figure S1.,2,1
Aa little more mention of issues of SRBs from owner perspective (e.g.,2,1
Line 366-369= I'm not sure it's totally fair to interpret this (the dog not always bringing toy when greeting them) as an anthropomorphic interpretation on the part of the owner- the anthropomorphic interpretation seems to be from authors of manuscript not owner?,2,1
This work sounds interesting and novelty.,0,0
The aim of the study was not stated clearly.,0,0
The reviewer is directed in particular to the Supplementary Methods section.,1,1
Figure 3: rename using latin alphabet,2,1
Indicate DFF = days to fifty percent flowering.,2,1
1.,0,0
"While this is somewhat accurate, it might be more appropriate to elucidate this as an “inherent affinity”.",2,1
How did you calculate those values on those comparison types?,0,0
Point 9: Please check the abbreviations of words throughout the article.,0,0
"Many thanks for these constructive comments, and we agree with the suggestions for improvements made by the editor and reviewers.",0,0
Point 2: For a better and accurate model I recommend the authors to eliminate from the model the extreme value.,0,0
Using “etc…” is not professional in scientific writing.,0,0
An alignment implies a tree but usually alignment algorithms are greedy and problematic and represent the most important limiting step of a phylogeny (the field is thus moving to the joint alignment and tree reconstruction).,2,1
https://doi.org/10.1016/j.bioorg.2019.02.008.,0,0
The reviewer suggests statistical analysis using a t-test (Raw water- BAC-Effluent and Raw water – BAC/UF-effluent).,0,0
This study aims to explore whether the existence of remuneration committees tend to disclose more corporate social responsibility (CSR) information.,0,0
!” (France in anger) was a popular facebook site.,0,0
)” Is there uncertainty of the number of participants or is this merely a typo?,0,0
"Indeed, it was like that.",0,0
They were incubated on TYG agar plates like the plasma samples after the treatment.,1,1
"I must note that a careful evaluation of all facets requires expertise in a multitude of disciplines (from prebiotic chemistry and structural biology to evolutionary bioinformatics and biochemistry) and considerable time, none of which I possess.",0,0
"However, in the latter case the authors need to address the issue of multiple correlations.",2,1
"If replicated were carried out, the use of average data is required as well as the standard deviation in the results and figures shown throughout the manuscript.",0,0
The digested product was diluted to 30 ml with ultrapure water and then stored at 4°C.,0,0
"Unless short run dynamics are an important reason for the lack of cointegration, the Johansen test should give the same results as the static OLS regressions, when there is one cointegrating vector.",2,1
Your careful review of this manuscript is highly appreciated.,0,0
Author Response File: Author Response.docx,0,0
RNA has the wonderful property of folding in search of energetic and kinetic minima.,2,1
"1) Since mutations can affect NMDA receptor localization, data on whether AMPA/NMDA ratios changed would be informative.",0,0
Prospect An unimpeded view over a distance for surveillance and planning.,0,0
(Subheading 2.1) The “Conclusions section” is not very successful concerning the presentation of results.,1,1
Three references have been cited.,1,1
Acknowledge this comment.,4,1
"p. 2, Line 24; I confirmed that the following website link to the data of nitrite concentration is correct.",1,1
"At the same time, it will be more complete if the results are reflected in the summary.",0,0
There is no reference from 2021.,2,1
#12.,0,0
Author Response Author Response File: Author Response.docx,0,0
Response 2: Thanks for the comment.,0,0
"We have added this issue to the discussion as a limitation of the study: “Since the optimal TTFields frequency has been shown to be dependent on the electrical properties of the cells and it is not clear how much effect the tumor microenvironment has on these properties, and because it is technically problematic to perform TTFields frequency scans in vivo, the frequency detected in the cell cultures was also employed for the animal studies.” Point 5: Why the in vitro experiment was performed for 72 hours and in in vivo for 120 hours?",1,1
"Worse more, the soil can not be brought to China.",0,0
Therefore the authors should do the following: Response:,2,1
Response:,0,0
"The spectral absorption characteristics near 1400, 1900, and 2200 nm have their corresponding influencing factors.",2,1
8) New 12 references were added to update the manuscript to address reviewers’ comments.,1,1
Angew.,0,0
"Journal of Contaminant Hydrology,2015,177-178（June–July）:85-92.",4,1
"Answer 29: As per the suggestion given by the reviewer, section numbering has been checked thoroughly in the revised version of the manuscript Comment 30: l. 442: “C), whereas the” Answer 30: Suggestion has been included in the revised version of the manuscript Comment 31: l. 471, 600, 678, and 718: Reference format is different; corresponding references could be missing in the list.",0,0
Could the authors add some indications about the derivation of these upper limits?,2,1
None of the methods are ideal – all are flawed (in comparison with a gold standard).,0,0
Five-point sampling method was used in both fields (0-20cm).,1,1
"Webb, W., & Toh, C. K.",1,1
"In table 3 the subheading ""Peak X, Y, X"" needs correction.",2,1
Acta Part A: Mol.,0,0
Question 4.,0,0
DOI: 10.5334/bc.76 55.,0,0
A possible radical that can interact with the samples is atomic nitrogen.,1,1
"If the authors agree with this, this aspect could be revised.",0,0
"To that end, I offer the following constructive suggestions: Conceptual Foundations (a)",0,0
"To be clear, other motional frequencies are altered: because the intracavity lattice depth is modulated by the backaction this will affect certain types of atomic motion, for example the oscillation frequency of an atom about the bottom of one of the potential minima \cite{Horak00}.",0,0
The pdb id 4j6u does not contain any bound ligand.,2,1
"Kent, M., Parkinson, T., Kim, J., Schiavon, S., 2021.",0,0
"All efforts to clarify and systemize data are welcome, and therefore this paper is very important and should be published.",0,0
[36].,1,1
"Either perform a quick analysis for a molecule known for its tyrosinase inhibition or compare with other studies control that used the same methods in your paper.For exemple in this study ""https://doi.org/10.1016/j.bmc.2011.10.078"" they used Arbutin to compare the results of their studied molecule.",2,1
5.,0,0
"An indication is provided in the Discussion (Line 414), but it would go to state this value upfront in the text.",0,0
In answer to the specific comments: Comment 1) Introduction Section: This comment still requires a response.,0,0
Responses to Reviwers’ comments and the description of revisions in the revised manuscript We would sincerely thank the Review for the time and effort in carefully reading the manuscript and in preparing the review reports.,0,0
A public education program could also be encouraged about health eating.,2,1
"Also, not all Pcb proteins are constitutively expressed (e.g., see Bibby et al.",0,0
3.,0,0
Line 62: Change “multiply” to “multiple”.,2,1
"It may be beneficial to make it clear why cut off of 'at least 5 mins' was used, e.g justification for this/why this time duration used.",0,0
"We have now provided a substantive elaboration on the Natural Social Contract (see section 3), and how contract formation takes place in polycentric ways at different levels (always context-specific and path-dependent).",0,0
"Many of the explanations found in section 3.1 could be moved into this part of the manuscript, since they many describe and show the existing office conditions and to do necessarily form part of the main results.",0,0
Diet is only expected to influence 2 of these 5 dimensions.,2,1
The latter can be assigned only after comparison with a reference taxonomy which is not a rigid framework but a modifiable system.,0,0
Response 4:,0,0
"In: European Planning Studies, 8(4): 429-449.",0,0
London: Pinter.,0,0
Keywords are not sufficient after the abstract.,2,1
"132, 255–262.",0,0
To assess the shading effect of the regolith is difficult.,1,1
"These include research and development efforts, and particularly 6 environmental-led activities, which are seen as secondary in firms’ scale of priorities.",0,0
Done!,1,1
"Therefore, in order to capture sexual subjectivity as it emerges and develops most rapidly along with change in sexual behavior, future studies may need to begin with a younger population.",1,1
These issues have been addressed.,1,1
Were Consent/assent from participants obtained?,0,0
"In Figure 1d, Lines 21/3 and 41/3 have some particular meanings, or are plotted mainly to ease the figure comprehension?",2,1
The authors could remove the table and mention 1-2 standards relevant for pandemics and make the same point.,2,1
We have replied to your first suggestion on Materials and Methods for the specific content to be added.,1,1
"In a SAXS curve, the strength reflect the number of defects, while the q range reflect the size of the defects.",0,0
"Introduction 33 With the emergence of Global Navigation Satellite System (GNSS), users can obtain 34 consistent ellipsoidal height at global scale.",0,0
Ethical approval from which institution?,0,0
Answer 28:,0,0
"The HPLC and NMR results from the present work confirmed the heterogeneity of the EPS (3 different sugar moieties with different molar ratios), which agrees with the other reported mannan polysaccharides.",1,1
"We agree that measuring the effect of TTFields on the anti-angiogenic effect of sorafenib and on resistance to sorafenib are interesting, these topics were however not within the scope of the current study, and remain for future investigations.",1,1
A public education program could also be encouraged about health eating.,2,1
d) The correlation results support the importance of biophilic design from the user perspectives.,1,1
The numbers in that column seem to be cumulative proportions of total changes over time.,0,0
"Please add a table with patients' baseline characteristics, including BMI and smoking status.",2,1
Answer:,0,0
"As suggested, we have added in brief about the same at line 414.",1,1
"I remove the reference 11 from this part, and moved to line 108.",2,1
From authors: Victor F. Tarasenko and Dmitry A. Sorokin Institute of High Current Electronics E-mail: [email protected] Author Response File: Author Response.docx,0,0
1) these two cases are limited in representing all the workplace biophilic designs.,1,1
"Rather than elaborating the notion and development of NSC, this section largely discusses co-evolutionary approaches, with emphasis on discursive aspects (e.g., metaphors, open concepts and master signifiers).",2,1
"Therefore, as the limit of this paper, the limit of the ethical aspect was first specified, and in the situation where the service is not needed, the service is deleted in consideration of the ethical aspect in the structure of the smart city.",1,1
No.,0,0
The starting values of cell numbers were estimated on samples prepared the same way as the samples for the plasma sterilization (intermixed with soils and desiccated as described in the method section).,1,1
Author Response File: Author Response.pdf,0,0
Lines 164-172.,0,0
While the paper seems interesting I have several concerns that I would like to share with the authors:,0,0
Language is generally okay.,0,0
The issue for the origin of life is how to get to a prokaryote.,0,0
"Following exercise in FM patients, activity was transiently increased in anterior insula and dorsolateral prefrontal cortex (DLPFC) while activity was transienly decreased following rest.",0,0
3.,0,0
"Cluster Organization’s governance and financing, which was already described in another section in the previous version, is now explained even earlier, in Section 3.2.",1,1
"Social contract theory helps to recognize duties and rights of citizens and consider issues of rebalancing society, and approaches and mechanisms for achieving this.",1,1
A point-by-point response to the reviewer-2 comments is appended below for your convenience.,0,0
Amend labels or explain in caption.,2,1
"When outlining their research methodology, the authors should state precisely how many interviews they conducted.",2,1
"The same parameters (e.g., daylight, thermal comfort, and air-quality, office layout and building form) can be classified in different classifications (i.e., the traditional POE frameworks and the biophilic design frameworks) by different perspectives.",1,1
The manuscript is well written and the presented evidence supports the conclusions being made.,0,0
The link between interpreted faults and fluid or gas escape features is a key feature of this figure.,2,1
"Also, we sincerely appreciate the accurate comments from the reviewers.",1,1
"Eur J Epidemiol 2017, 32, 691-699, doi:https://dx.doi.org/10.1007%2Fs10654-017-0270-y.",0,0
"The wording given to the owners is all presented here, and in the supplementary material.",1,1
"This seems orders of magnitude too large, especially in the face of the results of Boal and Ng [44].",2,1
"Intuitively, there is a trade-off, on one hand, using longer lags gives more information and improves efficiency, but on the other hand sample gets smaller (as it is the case in standard 2SLS models).",1,1
"We have now provided a substantive elaboration on the Natural Social Contract (see section 3), and how contract formation takes place in polycentric ways at different levels (always context-specific and path-dependent).",0,0
"However, it should be specified for unexperienced reader in the field of cyanobacteria.",2,1
